Year,Rice,Wheat,Tur_Pulses,Other_Pulses
2002,93340000,72766000,2260000,5635000
2003,71820000,65761000,2186000,4702000
2004,88526000,72156000,2356000,6831000
2005,83132000,68637000,2347000,5314000
2006,91793000,69355000,2738000,5046000
2007,93355000,75807000,2314000,5550000
2008,96693000,78570000,3076000,5937000
2009,99172000,80679000,2266000,5240000
2010,89083000,80804000,2465000,4720000
2011,95970000,86874000,2861000,7159000
2012,105301000,94882000,2654000,6733000
2013,105241000,93506000,3023000,6486000
2014,106646000,95850000,3174000,6555000
2015,105482000,86527000,2807000,7013000
2016,104320000,93500000,2460000,6840000
2017,93880000,95700000,4290000,4410000
